event,fighter1,fighter2,fighter1_odds,fighter2_odds,result,date,link,timestamp
UFC Fight Night: Lewis vs. Teixeira,Vitor Petrino,Austen Lane,1.15,5.60,Vitor Petrino,12th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051
UFC Fight Night: Lewis vs. Teixeira,Junior Tafa,George Tokkos,1.61,2.50,George Tokkos,12th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051
UFC Fight Night: Lewis vs. Teixeira,Chris Curtis,Max Griffin,1.33,3.50,Chris Curtis,12th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051
UFC Fight Night: Lewis vs. Teixeira,Jake Matthews,Chidi Njokuani,1.96,1.87,Jake Matthews,12th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051
UFC Fight Night: Lewis vs. Teixeira,Lauren Murphy,Eduarda Moura,5.60,1.17,Eduarda Moura,12th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051
UFC Fight Night: Lewis vs. Teixeira,Kennedy Nzechukwu,Valter Walker,1.44,3.00,Valter Walker,12th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051
UFC Fight Night: Lewis vs. Teixeira,Mitch Ramirez,Mike Davis,7.50,1.11,Mike Davis,12th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051
UFC Fight Night: Lewis vs. Teixeira,Fatima Kline,Melissa Martinez,1.09,8.50,Fatima Kline,12th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051
UFC 317,Ilia Topuria,Charles Oliveira,1.25,4.40,Ilia Topuria,28th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051
UFC 317,Alexandre Pantoja,Kai Kara-France,1.43,3.15,Alexandre Pantoja,28th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051
UFC 317,Brandon Royval,Joshua Van,2.02,2.05,Joshua Van,28th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051
UFC 317,Beneil Dariush,Renato Moicano,2.36,1.93,Beneil Dariush,28th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051
UFC 317,Payton Talbott,Felipe Lima,2.50,1.61,Payton Talbott,28th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051
UFC 317,Gregory Rodrigues,Jack Hermansson,1.52,2.88,Gregory Rodrigues,28th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051
UFC 317,Jose  Delgado,Hyder Amil,1.74,2.22,Jose  Delgado,28th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051
