name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Patrick Smith,20-17-0,,"6'2""",225lbs.,--,Orthodox,"Aug28,1963",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Scott Smith,18-11-0 (1 NC),Hands of Steel,"6'0""",185lbs.,"70""",Orthodox,"May21,1979",1.90,27%,5.87,50%,0.12,6%,58%,0.5,2025-07-24 10:17:07.375392
Eric Smith,1-1-0,,--,--,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Josh Smith,9-8-0,,"6'0""",155lbs.,--,Orthodox,"Jul02,1982",0.73,28%,1.40,54%,0.00,0%,57%,2.0,2025-07-24 10:17:07.375392
David Smith,5-1-0,,--,155lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Adam Smith,0-3-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Dillon Smith,0-0-0,,"6'0""",170lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Trevor Smith,15-10-0,Hot Sauce,"6'3""",185lbs.,"75""",Orthodox,"Jan05,1981",3.29,55%,3.31,51%,1.70,32%,60%,0.7,2025-07-24 10:17:07.375392
Anthony Smith,38-22-0,Lionheart,"6'4""",205lbs.,"76""",Orthodox,"Jul26,1988",3.19,49%,5.04,44%,0.44,22%,50%,0.6,2025-07-24 10:17:07.375392
Colton Smith,7-4-0,,"6'0""",155lbs.,"71""",Orthodox,"Aug14,1987",1.64,41%,2.30,51%,4.09,36%,25%,1.4,2025-07-24 10:17:07.375392
Gilbert Smith,12-6-0,,"5'9""",185lbs.,--,Southpaw,"Oct19,1981",1.09,41%,2.73,35%,3.51,60%,0%,1.2,2025-07-24 10:17:07.375392
Leslie Smith,10-7-1,The Peacemaker,"5'9""",135lbs.,"66""",Orthodox,"Aug17,1982",7.56,40%,8.41,51%,0.00,0%,62%,0.0,2025-07-24 10:17:07.375392
Devonte Smith,11-4-0,King Kage,"5'9""",155lbs.,"76""",Orthodox,"Jul30,1993",4.55,53%,3.91,49%,0.35,25%,85%,0.3,2025-07-24 10:17:07.375392
Cole Smith,7-2-0,The Cole Train,"5'11""",135lbs.,"67""",Orthodox,"Apr05,1989",1.78,35%,1.96,49%,1.67,33%,45%,1.7,2025-07-24 10:17:07.375392
Nate Smith,6-1-0,The Savage,"5'6""",125lbs.,"69""",Switch,"Apr09,1995",1.28,38%,2.04,35%,0.00,0%,33%,2.3,2025-07-24 10:17:07.375392
Braxton Smith,5-2-0,The Beautiful Monster,"5'11""",257lbs.,"72""",Orthodox,"Jan01,1990",6.46,48%,11.54,32%,0.00,0%,100%,0.0,2025-07-24 10:17:07.375392
Elijah Smith,8-1-0,Swift,"5'9""",135lbs.,"71""",Orthodox,"Sep05,2002",3.83,41%,3.87,47%,4.00,53%,66%,1.0,2025-07-24 10:17:07.375392
Jacobe Smith,11-0-0,Cobe,"5'10""",170lbs.,"72""",Southpaw,"Jan17,1996",6.21,66%,2.86,47%,7.42,90%,100%,0.8,2025-07-24 10:17:07.375392
Walter Smith-Cotito,4-5-0 (1 NC),,"5'8""",135lbs.,--,,--,2.95,36%,3.53,68%,2.16,33%,57%,0.0,2025-07-24 10:17:07.375392
Justin Smitley,10-7-1,,--,145lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Dmitrii Smoliakov,9-3-0,The Lifeguard,"6'2""",253lbs.,"74""",Switch,"Aug05,1982",1.44,42%,3.81,55%,0.00,0%,75%,0.0,2025-07-24 10:17:07.375392
Louis Smolka,17-9-0,Da Last Samurai,"5'9""",135lbs.,"68""",Orthodox,"Jul16,1991",4.67,47%,4.11,53%,1.69,35%,32%,1.8,2025-07-24 10:17:07.375392
Cameron Smotherman,12-6-0,The Baby-Faced Killa,"5'9""",135lbs.,"69""",Orthodox,"Sep17,1997",4.07,37%,3.52,58%,0.00,0%,62%,0.0,2025-07-24 10:17:07.375392
Shimon Smotritsky,8-2-0,The Assassin,"6'2""",170lbs.,"74""",Orthodox,"Aug22,2000",3.52,34%,8.67,56%,3.52,33%,50%,0.0,2025-07-24 10:17:07.375392
