name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Tom Aaron,5-3-0,,--,155lbs.,--,,"Jul13,1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Danny Abbadi,4-6-0,The Assassin,"5'11""",155lbs.,--,Orthodox,"Jul03,1983",3.29,38%,4.41,57%,0.00,0%,77%,0.0,2025-07-24 10:17:07.375392
Nariman Abbasov,28-4-0,Bayraktar,"5'8""",155lbs.,"66""",Orthodox,"Feb01,1994",3.00,20%,5.67,46%,0.00,0%,66%,0.0,2025-07-24 10:17:07.375392
David Abbott,10-15-0,Tank,"6'0""",265lbs.,--,Switch,"Apr26,1965",1.35,30%,3.55,38%,1.07,33%,66%,0.0,2025-07-24 10:17:07.375392
Hamdy Abdelwahab,6-1-0 (1 NC),The Hammer,"6'2""",264lbs.,"72""",Southpaw,"Jan22,1993",3.49,49%,4.49,51%,1.33,66%,100%,0.0,2025-07-24 10:17:07.375392
Mansur Abdul-Malik,8-0-1,,"6'2""",185lbs.,"80""",Orthodox,"Oct07,1997",4.27,48%,3.49,51%,0.49,33%,82%,0.0,2025-07-24 10:17:07.375392
Shamil Abdurakhimov,20-8-0,Abrek,"6'3""",235lbs.,"76""",Orthodox,"Sep02,1981",2.41,44%,3.02,55%,1.01,23%,45%,0.1,2025-07-24 10:17:07.375392
Hiroyuki Abe,8-15-3 (1 NC),Abe Ani,"5'6""",145lbs.,--,Orthodox,--,1.71,36%,3.11,63%,0.00,0%,33%,0.0,2025-07-24 10:17:07.375392
Daichi Abe,6-2-0,,"5'11""",170lbs.,"71""",Orthodox,"Nov27,1991",3.80,33%,4.49,56%,0.33,50%,0%,0.0,2025-07-24 10:17:07.375392
Papy Abedi,10-4-0,Makambo,"5'11""",185lbs.,--,Southpaw,"Jun30,1978",2.80,55%,3.15,48%,3.47,57%,50%,1.3,2025-07-24 10:17:07.375392
Ricardo Abreu,5-1-0,Demente,"5'11""",185lbs.,--,Orthodox,"Apr27,1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7,2025-07-24 10:17:07.375392
Klidson Abreu,15-4-0 (1 NC),White Bear,"6'0""",205lbs.,"74""",Orthodox,"Dec24,1992",2.05,40%,2.90,55%,0.64,20%,80%,0.0,2025-07-24 10:17:07.375392
Cyborg Abreu,0-0-0,,--,--,--,,"Dec20,1980",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Daniel Acacio,30-18-0,,"5'8""",180lbs.,--,Orthodox,"Dec27,1977",3.52,36%,2.85,62%,0.33,20%,81%,0.0,2025-07-24 10:17:07.375392
John Adajar,6-2-0,The Outlaw,"5'9""",170lbs.,"75""",Orthodox,"Jun22,1991",3.90,52%,6.28,44%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Scott Adams,8-1-0,,"6'0""",225lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Juan Adams,5-3-0,The Kraken,"6'5""",265lbs.,"80""",Orthodox,"Jan16,1992",7.09,55%,4.06,34%,0.91,66%,57%,0.0,2025-07-24 10:17:07.375392
Anthony Adams,8-2-0,Sugafoot,"6'1""",185lbs.,"76""",Orthodox,"Jan13,1988",3.17,41%,5.93,44%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Zarrukh Adashev,4-4-0,The Lion,"5'5""",125lbs.,"65""",Southpaw,"Jul29,1992",3.65,40%,3.04,64%,0.00,0%,100%,0.5,2025-07-24 10:17:07.375392
Israel Adesanya,24-5-0,The Last Stylebender,"6'4""",185lbs.,"80""",Switch,"Jul22,1989",4.02,48%,3.20,55%,0.05,11%,76%,0.1,2025-07-24 10:17:07.375392
Sam Adkins,7-20-2,The Experience,"6'3""",225lbs.,--,Orthodox,"Apr26,1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Mohamed Ado,5-1-0,,"5'11""",170lbs.,"76""",Switch,"May03,2000",1.66,83%,0.33,75%,4.97,50%,50%,5.0,2025-07-24 10:17:07.375392
Nick Agallar,24-6-0,,"5'8""",155lbs.,--,Orthodox,"Jan13,1979",0.69,11%,4.56,42%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Mariya Agapova,10-5-0,Money Mashka,"5'6""",125lbs.,"68""",Southpaw,"Apr07,1997",4.43,54%,3.62,52%,0.55,66%,45%,0.8,2025-07-24 10:17:07.375392
Kantharaj Agasa,12-3-0,Kannadiga,--,135lbs.,--,,"Feb16,1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Marcelo Aguiar,2-3-1,,"5'10""",170lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Fabio Aguiar,17-1-0,,"6'0""",185lbs.,--,,"Feb10,1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Edwin Aguilar,26-19-0 (1 NC),Tigre,"5'10""",185lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jessica Aguilar,20-8-0,Jag,"5'3""",115lbs.,"63""",Orthodox,"May08,1982",4.93,50%,7.19,53%,0.94,25%,50%,0.2,2025-07-24 10:17:07.375392
Kevin Aguilar,17-5-0,Angel of Death,"5'7""",155lbs.,"73""",Orthodox,"Sep07,1988",3.96,40%,4.81,52%,0.16,16%,78%,0.0,2025-07-24 10:17:07.375392
Jesus Aguilar,11-3-0,,"5'4""",125lbs.,"62""",Orthodox,"Mar13,1996",1.73,45%,1.10,59%,1.83,35%,40%,1.8,2025-07-24 10:17:07.375392
Christian Aguilera,14-8-0,The Beast,"5'9""",170lbs.,"72""",Switch,"Nov25,1991",2.54,37%,4.04,48%,0.00,0%,60%,0.0,2025-07-24 10:17:07.375392
Nick Aguirre,7-2-0,Slick,"5'9""",135lbs.,"74""",Southpaw,"Jan15,1996",0.73,33%,2.89,45%,1.16,20%,33%,0.6,2025-07-24 10:17:07.375392
Agulali,13-1-0,,"5'9""",125lbs.,"67""",Switch,"Apr07,2005",2.74,63%,0.91,71%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Ahejiang Ailinuer,15-3-0,,--,145lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Mike Aina,14-6-1 (1 NC),Iron,"5'9""",155lbs.,--,Orthodox,--,2.87,33%,6.33,59%,0.00,0%,71%,0.0,2025-07-24 10:17:07.375392
Ashiek Ajim,6-2-0,Peak Physique,"5'8""",135lbs.,"71""",Switch,"Jun19,1994",5.00,40%,11.25,25%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Hitomi Akano,18-10-0,Girlfight Monster,"5'4""",135lbs.,--,Southpaw,"Jul27,1974",0.59,45%,2.58,55%,0.00,0%,8%,0.5,2025-07-24 10:17:07.375392
Omari Akhmedov,21-6-1,Wolverine,"6'0""",185lbs.,"73""",Orthodox,"Oct12,1987",2.97,34%,2.84,55%,2.58,45%,65%,0.2,2025-07-24 10:17:07.375392
Yoshihiro Akiyama,14-6-0 (2 NC),,"5'10""",170lbs.,"75""",Orthodox,"Jul29,1975",3.10,41%,3.62,57%,2.29,67%,92%,1.0,2025-07-24 10:17:07.375392
Rostem Akman,6-2-0,,"5'10""",170lbs.,"72""",Switch,"Dec19,1991",1.80,25%,3.97,57%,1.00,40%,87%,0.0,2025-07-24 10:17:07.375392
Razak Al-Hassan,13-5-0,,"6'2""",205lbs.,--,Orthodox,"May14,1982",3.27,39%,3.14,60%,0.65,14%,57%,0.0,2025-07-24 10:17:07.375392
Abdul-Kareem Al-Selwady,15-4-0,Pride of Palestine,"5'8""",155lbs.,"69""",Orthodox,"Apr10,1995",4.14,34%,3.60,59%,2.32,30%,20%,0.0,2025-07-24 10:17:07.375392
Mostapha Al-Turk,6-6-0,,"6'2""",245lbs.,"77""",Orthodox,"Jul14,1973",1.36,19%,3.61,53%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Herdem Alacabek,5-1-0,,"6'2""",205lbs.,"75""",Orthodox,"Jun07,1991",3.84,65%,6.66,23%,2.06,50%,42%,0.0,2025-07-24 10:17:07.375392
Javi Alanis,0-4-0,,"5'6""",135lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Alatengheili,17-10-2,The Mongolian Knight,"5'5""",135lbs.,"66""",Orthodox,"Dec14,1991",2.82,32%,5.12,57%,1.74,43%,75%,0.0,2025-07-24 10:17:07.375392
Amir Albazi,17-2-0,The Prince,"5'5""",125lbs.,"68""",Orthodox,"Oct27,1993",2.72,34%,3.71,61%,1.39,32%,50%,0.5,2025-07-24 10:17:07.375392
Brett Albee,3-2-0,,--,225lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
John Albert,6-5-0,Prince,"5'8""",135lbs.,"68""",Orthodox,"Oct13,1986",3.05,49%,2.82,35%,0.00,0%,50%,6.1,2025-07-24 10:17:07.375392
Junior Albini,14-6-0,Baby,"6'3""",264lbs.,"74""",Orthodox,"Mar15,1991",3.98,51%,6.08,52%,1.54,37%,100%,0.0,2025-07-24 10:17:07.375392
Wes Albritton,0-1-0,,"5'10""",188lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Aleksandra Albu,3-2-0,Stitch,"5'2""",115lbs.,"63""",Orthodox,"Jul14,1990",4.83,47%,5.56,38%,2.27,50%,77%,0.4,2025-07-24 10:17:07.375392
Israel Albuquerque,0-3-0,,--,185lbs.,--,Orthodox,--,0.32,13%,3.34,25%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Juan Alcain,1-2-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Iuri Alcantara,35-10-0 (1 NC),Marajo,"5'9""",135lbs.,"71""",Southpaw,"Aug04,1980",2.72,45%,2.79,49%,1.44,62%,60%,0.8,2025-07-24 10:17:07.375392
Ildemar Alcantara,21-11-0,Marajo,"6'2""",185lbs.,"78""",Orthodox,"Nov18,1982",1.93,38%,2.63,50%,2.00,68%,81%,0.9,2025-07-24 10:17:07.375392
Alfonso Alcarez,1-3-1,,"5'3""",145lbs.,--,,"Jun10,1970",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Gilbert Aldana,6-2-0,El Peligro,"6'1""",250lbs.,--,Orthodox,"Aug25,1977",2.91,54%,6.26,26%,2.57,40%,33%,0.0,2025-07-24 10:17:07.375392
Irene Aldana,15-8-0,,"5'9""",135lbs.,"68""",Orthodox,"Mar26,1988",5.19,39%,6.64,56%,0.15,50%,77%,0.2,2025-07-24 10:17:07.375392
Hector Aldana,4-3-0,,"5'11""",170lbs.,"72""",Orthodox,"Aug17,1988",3.59,38%,5.08,59%,0.93,100%,0%,0.0,2025-07-24 10:17:07.375392
Jose Alday,14-6-1,Pochito,"5'7""",135lbs.,"68""",Orthodox,"Sep14,1991",3.13,44%,3.13,58%,0.00,0%,57%,0.0,2025-07-24 10:17:07.375392
Jose Aldo,32-10-0,,"5'7""",135lbs.,"70""",Orthodox,"Sep09,1986",3.65,46%,3.81,60%,0.47,51%,92%,0.1,2025-07-24 10:17:07.375392
JJ Aldrich,14-7-0,,"5'5""",125lbs.,"67""",Southpaw,"Sep29,1992",3.96,47%,4.32,61%,0.75,26%,67%,0.0,2025-07-24 10:17:07.375392
Irina Alekseeva,5-3-0,Russian Ronda,"5'8""",135lbs.,"67""",Orthodox,"Jun27,1990",4.01,39%,5.03,46%,0.47,20%,66%,0.5,2025-07-24 10:17:07.375392
Talita Alencar,6-1-1,Problem Child,"5'1""",115lbs.,"58""",Orthodox,"Oct17,1990",2.62,33%,3.77,53%,2.50,20%,50%,0.2,2025-07-24 10:17:07.375392
Jim Alers,13-3-0 (1 NC),The Beast,"5'9""",145lbs.,"71""",Orthodox,"Oct14,1986",2.90,40%,4.38,56%,2.26,41%,80%,0.3,2025-07-24 10:17:07.375392
John Alessio,35-17-0 (2 NC),The Natural,"5'10""",155lbs.,"72""",Orthodox,"Jul05,1979",2.10,39%,2.91,54%,1.85,38%,70%,1.2,2025-07-24 10:17:07.375392
Houston Alexander,17-15-1 (2 NC),The Assassin,"6'0""",205lbs.,"72""",Orthodox,"Mar22,1972",3.06,54%,3.20,52%,1.19,57%,33%,0.0,2025-07-24 10:17:07.375392
Kenneth Alexander,7-6-0 (1 NC),The Machine,"5'9""",155lbs.,--,Orthodox,"Sep25,1977",0.88,19%,2.20,66%,4.71,26%,0%,0.0,2025-07-24 10:17:07.375392
Lucas Alexander,8-5-0,The Lion,"5'11""",145lbs.,"73""",Orthodox,"Jul28,1995",4.69,57%,2.87,56%,0.00,0%,60%,0.0,2025-07-24 10:17:07.375392
Marcio Alexandre Junior,17-4-0,Lyoto,"6'0""",185lbs.,"75""",Southpaw,"May05,1989",1.61,45%,2.89,42%,0.35,20%,66%,0.7,2025-07-24 10:17:07.375392
Olaf Alfonso,8-12-0,,"6'2""",170lbs.,--,Orthodox,"Aug06,1974",1.65,38%,4.77,53%,0.37,7%,22%,0.7,2025-07-24 10:17:07.375392
Pablo Alfonso,9-7-0,The Hurricane,"5'8""",145lbs.,--,,"May09,1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Levi Alford,1-7-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Bill Algeo,18-9-0,Senor Perfecto,"6'0""",145lbs.,"73""",Switch,"Jun09,1989",5.88,51%,4.38,47%,1.03,50%,55%,0.1,2025-07-24 10:17:07.375392
Royce Alger,3-2-0,,"5'10""",199lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Amir Aliakbari,10-1-0,,"6'3""",250lbs.,--,,"Jun10,1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Sultan Aliev,15-3-0,,"5'11""",170lbs.,"74""",Orthodox,"Sep17,1984",1.41,45%,2.20,56%,1.76,38%,100%,0.0,2025-07-24 10:17:07.375392
Nurullo Aliev,10-0-0,Tajik Eagle,"5'10""",155lbs.,"72""",Orthodox,"Dec08,2000",2.43,45%,1.07,58%,2.60,54%,0%,0.0,2025-07-24 10:17:07.375392
Ikram Aliskerov,16-2-0,,"6'0""",185lbs.,"76""",Southpaw,"Dec07,1992",7.76,62%,5.78,41%,1.14,33%,100%,1.1,2025-07-24 10:17:07.375392
Leon Aliu,10-2-0,The Albanian Lion,"6'0""",185lbs.,"74""",Orthodox,"Jul14,1989",6.32,50%,10.11,38%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
John Allan,13-7-0 (1 NC),,"6'1""",205lbs.,"75""",Orthodox,"Feb22,1993",3.56,42%,5.74,52%,1.40,71%,50%,0.8,2025-07-24 10:17:07.375392
George Allen,13-19-2,,"6'2""",205lbs.,--,OpenStance,"Jan13,1967",0.80,38%,3.10,43%,0.00,0%,50%,0.0,2025-07-24 10:17:07.375392
Arnold Allen,20-3-0,Almighty,"5'8""",145lbs.,"70""",Southpaw,"Jan22,1994",3.45,41%,2.88,61%,0.93,47%,75%,0.3,2025-07-24 10:17:07.375392
Brendan Allen,25-7-0,All In,"6'2""",185lbs.,"75""",Orthodox,"Dec28,1995",3.85,53%,3.96,47%,1.65,41%,56%,1.2,2025-07-24 10:17:07.375392
Daniel Allen,5-0-0,,"6'0""",155lbs.,"75""",Southpaw,"Aug10,1992",7.60,51%,5.87,53%,2.00,66%,100%,0.0,2025-07-24 10:17:07.375392
Ben Alloway,18-8-0,Blanco,"5'11""",170lbs.,"76""",Orthodox,"Feb19,1981",1.28,49%,1.90,59%,0.62,50%,26%,0.0,2025-07-24 10:17:07.375392
Asu Almabayev,21-3-0,Zulfikar,"5'4""",125lbs.,"65""",Orthodox,"Jan25,1994",2.32,54%,1.76,53%,4.13,42%,66%,1.4,2025-07-24 10:17:07.375392
Bekzat Almakhan,12-2-0,The Turan Warrior,"5'7""",135lbs.,"68""",Orthodox,"Oct08,1997",0.68,40%,4.29,32%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
John Dave Almanza,6-1-0,The Striker,"5'7""",125lbs.,"67""",Southpaw,"Mar22,2004",1.92,41%,5.75,27%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Ricardo Almeida,13-5-0,Big Dog,"6'0""",170lbs.,"74""",Orthodox,"Nov29,1976",2.02,49%,1.20,61%,3.74,38%,31%,1.2,2025-07-24 10:17:07.375392
Magno Almeida,10-3-0 (1 NC),,"6'0""",155lbs.,--,,"Jun06,1985",1.67,36%,2.60,41%,0.00,0%,40%,5.0,2025-07-24 10:17:07.375392
Thomas Almeida,22-5-0,Thominhas,"5'7""",145lbs.,"70""",Southpaw,"Jul31,1991",4.84,43%,4.93,61%,0.17,14%,75%,0.0,2025-07-24 10:17:07.375392
Ericka Almeida,7-3-0,,"5'6""",115lbs.,--,Orthodox,"Mar05,1989",1.07,39%,3.33,43%,0.50,33%,37%,0.0,2025-07-24 10:17:07.375392
Estefani Almeida,7-3-0,,"5'4""",125lbs.,--,Orthodox,"Oct17,1988",3.13,37%,6.07,42%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jailton Almeida,22-3-0,Malhadinho,"6'3""",205lbs.,"79""",Orthodox,"Jun26,1991",2.62,65%,0.89,41%,6.58,60%,60%,2.4,2025-07-24 10:17:07.375392
Lucas Almeida,15-4-0,,"5'11""",145lbs.,"71""",Orthodox,"Jan31,1991",4.94,39%,5.04,44%,0.00,0%,53%,0.0,2025-07-24 10:17:07.375392
Cesar Almeida,7-1-0,Cesinha,"6'1""",185lbs.,"74""",Orthodox,"Mar28,1988",4.16,58%,2.32,48%,0.00,0%,60%,0.3,2025-07-24 10:17:07.375392
Mauricio Alonso,13-7-0 (1 NC),,"6'2""",170lbs.,--,,"Feb27,1980",5.74,34%,1.91,67%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Sarah Alpar,9-6-0,Too Sweet,"5'4""",135lbs.,"63""",Southpaw,"Jun01,1991",2.36,44%,6.06,38%,1.61,26%,20%,0.4,2025-07-24 10:17:07.375392
Ali AlQaisi,8-5-0,The Royal Fighter,"5'6""",135lbs.,"68""",Orthodox,"Sep23,1990",2.43,42%,1.97,56%,3.50,29%,60%,1.0,2025-07-24 10:17:07.375392
Rico Altamirano,4-3-0,,"5'10""",170lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Victor Altamirano,12-5-0,El Magnifico,"5'8""",125lbs.,"70""",Switch,"Jan23,1991",4.58,53%,3.82,53%,2.88,38%,63%,0.0,2025-07-24 10:17:07.375392
Mike Altman,1-4-0,,"5'10""",185lbs.,--,Orthodox,--,1.56,20%,2.08,75%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Patricia Alujas,9-3-0,The Angel,"5'4""",115lbs.,"64""",Orthodox,"May08,1996",5.83,31%,9.25,44%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Sean Alvarez,4-3-0,,"6'0""",235lbs.,--,Orthodox,"Jul14,1971",0.89,37%,3.25,47%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Eddie Alvarez,29-6-0 (1 NC),,"5'9""",155lbs.,"69""",Orthodox,"Jan11,1984",4.32,41%,4.39,55%,2.92,36%,92%,0.5,2025-07-24 10:17:07.375392
Jaime Alvarez,6-1-0,,"5'8""",125lbs.,"69""",Orthodox,"Mar08,1988",2.73,40%,4.53,56%,1.00,33%,50%,0.0,2025-07-24 10:17:07.375392
Joel Alvarez,22-3-0,El Fenomeno,"6'3""",155lbs.,"77""",Orthodox,"Mar02,1993",4.51,53%,3.32,50%,0.00,0%,40%,1.2,2025-07-24 10:17:07.375392
Thiago Alves,23-15-0,Pitbull,"5'9""",170lbs.,"70""",Orthodox,"Oct03,1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3,2025-07-24 10:17:07.375392
Anthony Alves,1-4-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Amilcar Alves,15-12-0,,"6'0""",170lbs.,--,Southpaw,"Aug08,1988",0.50,46%,2.02,30%,0.00,0%,53%,0.0,2025-07-24 10:17:07.375392
Warlley Alves,15-8-0,,"5'11""",185lbs.,"72""",Orthodox,"Jan04,1991",3.04,48%,3.95,50%,1.22,50%,62%,0.8,2025-07-24 10:17:07.375392
Rafael Alves,20-12-0,The Turn,"5'8""",155lbs.,"68""",Orthodox,"Nov14,1990",1.85,48%,3.30,58%,0.29,25%,44%,1.5,2025-07-24 10:17:07.375392
Sam Alvey,33-18-1 (1 NC),Smile'N,"6'2""",185lbs.,"75""",Southpaw,"May06,1986",3.28,44%,3.63,52%,0.06,14%,82%,0.1,2025-07-24 10:17:07.375392
Mahamed Aly,4-0-0,,--,205lbs.,--,,"Jan11,1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Andre Amado,6-4-1,Dida,"6'0""",154lbs.,--,Orthodox,--,2.27,24%,5.91,63%,0.00,0%,20%,0.0,2025-07-24 10:17:07.375392
Adlan Amagov,14-2-1,Borz,"6'2""",170lbs.,"76""",Orthodox,"Oct30,1986",3.29,47%,0.82,78%,5.84,56%,100%,0.0,2025-07-24 10:17:07.375392
Maiara Amanajas dos Santos,7-3-0,,"5'5""",115lbs.,--,Southpaw,"Jul11,1987",5.53,35%,24.47,33%,0.00,0%,100%,0.0,2025-07-24 10:17:07.375392
Chris Amarante,2-0-0,,--,185lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jimmy Ambriz,17-21-1,The Titan,"6'2""",315lbs.,--,Southpaw,"Jan26,1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8,2025-07-24 10:17:07.375392
JJ Ambrose,28-7-0 (2 NC),,"5'10""",170lbs.,--,Orthodox,--,3.16,69%,6.32,33%,0.00,0%,50%,0.0,2025-07-24 10:17:07.375392
Alen Amedovski,8-4-0,,"5'10""",185lbs.,"74""",Orthodox,"Apr06,1988",0.99,30%,3.85,46%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Hyder Amil,11-1-0,The Hurricane,"5'9""",145lbs.,"70""",Switch,"May28,1990",6.84,57%,4.18,51%,0.77,20%,81%,1.2,2025-07-24 10:17:07.375392
Hamid Amiri,9-0-0,The Storm,--,145lbs.,--,,"Jun15,2003",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Makwan Amirkhani,17-9-0,Mr. Finland,"5'10""",145lbs.,"72""",Southpaw,"Nov08,1988",1.33,44%,2.98,46%,3.96,43%,35%,1.1,2025-07-24 10:17:07.375392
Jaqueline Amorim,10-1-0,,"5'3""",115lbs.,"68""",Orthodox,"Jun24,1995",2.68,53%,1.43,64%,2.22,37%,0%,4.8,2025-07-24 10:17:07.375392
Bertrand Amoussou,1-1-0,,"5'8""",190lbs.,--,Orthodox,--,6.75,39%,2.01,83%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Karl Amoussou,27-7-2,The Psycho,"5'11""",185lbs.,--,Orthodox,"Nov21,1985",1.47,34%,2.67,54%,0.00,0%,25%,1.0,2025-07-24 10:17:07.375392
Eryk Anders,17-8-0 (1 NC),Ya Boi,"6'1""",185lbs.,"75""",Southpaw,"Apr21,1987",3.54,48%,4.05,50%,1.71,24%,80%,0.1,2025-07-24 10:17:07.375392
Matt Andersen,14-8-1,,"6'2""",230lbs.,--,Southpaw,"May29,1971",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Andy Anderson,0-1-0,The Hammer,"5'6""",240lbs.,--,,"Jul16,1974",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Lowell Anderson,0-1-0,,"5'6""",160lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Corey Anderson,14-5-0,Overtime,"6'3""",205lbs.,"79""",Orthodox,"Sep22,1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0,2025-07-24 10:17:07.375392
Derek Anderson,14-3-0 (1 NC),Barbaric,"6'0""",155lbs.,--,,"Feb02,1990",3.97,37%,3.08,61%,0.34,14%,60%,0.0,2025-07-24 10:17:07.375392
Megan Anderson,11-5-0,,"6'0""",145lbs.,"72""",Orthodox,"Feb11,1990",1.76,46%,3.35,37%,0.52,25%,53%,0.5,2025-07-24 10:17:07.375392
Liam Anderson,6-3-0,,"6'3""",185lbs.,"75""",Orthodox,"Jan13,1995",3.00,52%,6.53,31%,1.00,20%,50%,0.0,2025-07-24 10:17:07.375392
Tatsuya Ando,14-4-1,Kirinji,"5'4""",145lbs.,"68""",Southpaw,"Apr26,1990",0.93,19%,4.93,50%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Alex Andrade,10-5-0,El Toro,"5'11""",200lbs.,--,Orthodox,"May14,1974",0.20,36%,2.60,53%,0.00,0%,25%,0.8,2025-07-24 10:17:07.375392
Jessica Andrade,26-14-0,Bate Estaca,"5'1""",115lbs.,"62""",Orthodox,"Sep25,1991",6.39,50%,5.49,54%,2.21,54%,71%,0.3,2025-07-24 10:17:07.375392
Viscardi Andrade,19-6-0,,"5'11""",170lbs.,"75""",Orthodox,"Mar08,1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3,2025-07-24 10:17:07.375392
Jermaine Andre,14-4-0,,"5'7""",200lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Juan Andres Luna,12-1-0,,"5'7""",125lbs.,"72""",Orthodox,"Aug20,1995",3.27,31%,3.00,65%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Fellipe Andrew,0-0-0,,--,--,--,,"Oct24,1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Dylan Andrews,18-7-0 (1 NC),The Villain,"6'1""",185lbs.,"74""",Switch,"Nov15,1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4,2025-07-24 10:17:07.375392
Reese Andy,7-3-0,Riptide,"6'0""",205lbs.,--,Orthodox,"Mar31,1973",2.87,50%,3.50,58%,0.67,20%,40%,0.0,2025-07-24 10:17:07.375392
Angga,13-3-0,The Hitman,"5'7""",145lbs.,"68""",Orthodox,"Jan13,1989",3.56,38%,3.77,53%,0.00,0%,33%,0.0,2025-07-24 10:17:07.375392
Julius Anglickas,5-1-0,,"6'3""",205lbs.,--,Orthodox,"Jul23,1991",4.62,78%,1.86,50%,4.47,50%,60%,1.1,2025-07-24 10:17:07.375392
Collin Anglin,8-3-0,,"5'9""",145lbs.,"71""",Orthodox,"Feb20,1993",4.59,48%,5.54,51%,2.28,66%,100%,0.0,2025-07-24 10:17:07.375392
Chad Anheliger,13-8-0,The Monster,"5'6""",135lbs.,"64""",Orthodox,"Dec01,1986",3.11,46%,2.76,53%,0.68,30%,38%,0.5,2025-07-24 10:17:07.375392
Yoji Anjo,0-5-1,Mr. 200%,"5'11""",205lbs.,--,Orthodox,"Mar28,1967",0.00,0%,3.13,25%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
