event,fighter1,fighter2,fighter1_odds,fighter2_odds,result,date,link,timestamp,fighter1_implied_prob,fighter2_implied_prob,total_implied_prob,bookmaker_margin,fighter1_norm_prob,fighter2_norm_prob,result_encoded,has_result,odds_diff,odds_ratio,fighter1_is_favorite,underdog_odds,favorite_odds,odds_gap,year,month,day_of_week
UFC 318,Max Holloway,Dustin Poirier,1.91,1.98,Max Holloway,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.5235602094240838,0.5050505050505051,1.0286107144745888,0.02861071447458885,0.5089974293059126,0.4910025706940874,1,1,-0.07000000000000006,0.9646464646464646,1,1.98,1.91,0.07000000000000006,2025,7,5
UFC 318,Paulo Costa,Roman Kopylov,2.96,1.48,Paulo Costa,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.33783783783783783,0.6756756756756757,1.0135135135135136,0.013513513513513598,0.3333333333333333,0.6666666666666666,1,1,1.48,2.0,0,2.96,1.48,1.48,2025,7,5
UFC 318,Kevin Holland,Daniel Rodriguez,1.2,6.0,Daniel Rodriguez,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.8333333333333334,0.16666666666666666,1.0,0.0,0.8333333333333334,0.16666666666666666,0,1,-4.8,0.19999999999999998,1,6.0,1.2,4.8,2025,7,5
UFC 318,Dan Ige,Patricio Freire,1.51,2.86,Patricio Freire,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.6622516556291391,0.3496503496503497,1.011902005279489,0.011902005279488925,0.654462242562929,0.34553775743707094,0,1,-1.3499999999999999,0.527972027972028,1,2.86,1.51,1.3499999999999999,2025,7,5
UFC 318,Michael Johnson,Daniel Zellhuber,7.0,1.16,Michael Johnson,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.14285714285714285,0.8620689655172414,1.0049261083743843,0.0049261083743843415,0.142156862745098,0.8578431372549019,1,1,5.84,6.03448275862069,0,7.0,1.16,5.84,2025,7,5
UFC 318,Kyler Phillips,Vinicius  de Oliveira,2.24,1.78,Vinicius  de Oliveira,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.4464285714285714,0.5617977528089888,1.0082263242375602,0.0082263242375602,0.4427860696517413,0.5572139303482587,0,1,0.4600000000000002,1.258426966292135,0,2.24,1.78,0.4600000000000002,2025,7,5
UFC 318,Marvin Vettori,Brendan Allen,3.0,1.38,Brendan Allen,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.3333333333333333,0.7246376811594204,1.0579710144927537,0.05797101449275366,0.3150684931506849,0.6849315068493151,0,1,1.62,2.173913043478261,0,3.0,1.38,1.62,2025,7,5
UFC 318,Francisco Prado,Nikolay Veretennikov,1.84,2.2,Nikolay Veretennikov,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.5434782608695652,0.45454545454545453,0.9980237154150198,-0.0019762845849802257,0.5445544554455445,0.4554455445544554,0,1,-0.3600000000000001,0.8363636363636363,1,2.2,1.84,0.3600000000000001,2025,7,5
UFC 318,Robert Valentin,Ateba  Gautier,3.4,1.29,Ateba  Gautier,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.29411764705882354,0.7751937984496123,1.0693114455084358,0.06931144550843582,0.2750533049040512,0.7249466950959489,0,1,2.11,2.635658914728682,0,3.4,1.29,2.11,2025,7,5
UFC 318,Adam Fugitt,Islam Dulatov,4.9,1.22,Islam Dulatov,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.2040816326530612,0.819672131147541,1.0237537638006022,0.023753763800602234,0.19934640522875816,0.8006535947712419,0,1,3.6800000000000006,4.0163934426229515,0,4.9,1.22,3.6800000000000006,2025,7,5
