EVENT,URL,DATE,LOCATION,timestamp,year,month,day,day_of_week,city,state,country,is_ppv,is_fight_night
The Ultimate Fighter: The Comeback Finale,http://ufcstats.com/event-details/baf942f4bcb09894,2006-11-11,"Las Vegas, Nevada, USA",,2006,11,11,5,Las Vegas,Nevada,USA,False,False
UFC 64: Unstoppable,http://ufcstats.com/event-details/13b2f59210dda9cc,2006-10-14,"Las Vegas, Nevada, USA",,2006,10,14,5,Las Vegas,Nevada,USA,True,False
Ortiz vs Shamrock 3: The Final Chapter,http://ufcstats.com/event-details/577ec7e108b94be3,2006-10-10,"Hollywood, Florida, USA",,2006,10,10,1,Hollywood,Florida,USA,False,False
UFC 63: Hughes vs Penn,http://ufcstats.com/event-details/13e62d766b709aa6,2006-09-23,"Anaheim, California, USA",,2006,9,23,5,Anaheim,California,USA,True,False
UFC 62: Liddell vs Sobral,http://ufcstats.com/event-details/f717b6002486f73f,2006-08-26,"Las Vegas, Nevada, USA",,2006,8,26,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night 6,http://ufcstats.com/event-details/46c8ec317aff28ac,2006-08-17,"Las Vegas, Nevada, USA",,2006,8,17,3,Las Vegas,Nevada,USA,False,True
UFC 61: Bitter Rivals,http://ufcstats.com/event-details/f70144caea5c4c80,2006-07-08,"Las Vegas, Nevada, USA",,2006,7,8,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night 5,http://ufcstats.com/event-details/445a98acb8985970,2006-06-28,"Las Vegas, Nevada, USA",,2006,6,28,2,Las Vegas,Nevada,USA,False,True
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,http://ufcstats.com/event-details/1dab0d1d81dd06db,2006-06-24,"Las Vegas, Nevada, USA",,2006,6,24,5,Las Vegas,Nevada,USA,False,False
UFC 60: Hughes vs Gracie,http://ufcstats.com/event-details/a54a35a670d8e852,2006-05-27,"Los Angeles, California, USA",,2006,5,27,5,Los Angeles,California,USA,True,False
UFC 59: Reality Check,http://ufcstats.com/event-details/03688dc3c3af3ac1,2006-04-15,"Anaheim, California, USA",,2006,4,15,5,Anaheim,California,USA,True,False
UFC Fight Night 4,http://ufcstats.com/event-details/b361180739bed4b0,2006-04-06,"Las Vegas, Nevada, USA",,2006,4,6,3,Las Vegas,Nevada,USA,False,True
UFC 58: USA vs Canada,http://ufcstats.com/event-details/0e9869d712e81f8f,2006-03-04,"Las Vegas, Nevada, USA",,2006,3,4,5,Las Vegas,Nevada,USA,True,False
UFC 57: Liddell vs Couture 3,http://ufcstats.com/event-details/977081bc01197656,2006-02-04,"Las Vegas, Nevada, USA",,2006,2,4,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night 3,http://ufcstats.com/event-details/2ee09ec2a0695eb9,2006-01-16,"Las Vegas, Nevada, USA",,2006,1,16,0,Las Vegas,Nevada,USA,False,True
UFC 56: Full Force,http://ufcstats.com/event-details/c7e9d15cfce52f1d,2005-11-19,"Las Vegas, Nevada, USA",,2005,11,19,5,Las Vegas,Nevada,USA,True,False
The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,http://ufcstats.com/event-details/31ceaf0e670c1578,2005-11-05,"Las Vegas, Nevada, USA",,2005,11,5,5,Las Vegas,Nevada,USA,False,False
UFC 55: Fury,http://ufcstats.com/event-details/271fe91f4ba9d2c5,2005-10-07,"Uncasville, Connecticut, USA",,2005,10,7,4,Uncasville,Connecticut,USA,True,False
UFC Fight Night 2,http://ufcstats.com/event-details/efaf544314bb5c2e,2005-10-03,"Las Vegas, Nevada, USA",,2005,10,3,0,Las Vegas,Nevada,USA,False,True
UFC 54: Boiling Point,http://ufcstats.com/event-details/669a3cb6e394f515,2005-08-20,"Las Vegas, Nevada, USA",,2005,8,20,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night 1,http://ufcstats.com/event-details/3f24c96753dbd9f9,2005-08-06,"Las Vegas, Nevada, USA",,2005,8,6,5,Las Vegas,Nevada,USA,False,True
UFC 53: Heavy Hitters,http://ufcstats.com/event-details/d3711d3784b76255,2005-06-04,"Atlantic City, New Jersey, USA",,2005,6,4,5,Atlantic City,New Jersey,USA,True,False
UFC 52: Couture vs Liddell 2,http://ufcstats.com/event-details/c933d423ebdbbbdb,2005-04-16,"Las Vegas, Nevada, USA",,2005,4,16,5,Las Vegas,Nevada,USA,True,False
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,http://ufcstats.com/event-details/fbbde91f7bc2d3c5,2005-04-09,"Las Vegas, Nevada, USA",,2005,4,9,5,Las Vegas,Nevada,USA,False,False
UFC 51: Super Saturday,http://ufcstats.com/event-details/85d905f7c4f5a1af,2005-02-05,"Las Vegas, Nevada, USA",,2005,2,5,5,Las Vegas,Nevada,USA,True,False
UFC 50: The War Of '04,http://ufcstats.com/event-details/ce783bf73b5131f9,2004-10-22,"Atlantic City, New Jersey, USA",,2004,10,22,4,Atlantic City,New Jersey,USA,True,False
UFC 49: Unfinished Business,http://ufcstats.com/event-details/b4bc2e3353a770b5,2004-08-21,"Las Vegas, Nevada, USA",,2004,8,21,5,Las Vegas,Nevada,USA,True,False
UFC 48: Payback,http://ufcstats.com/event-details/429e7d3725852ce9,2004-06-19,"Las Vegas, Nevada, USA",,2004,6,19,5,Las Vegas,Nevada,USA,True,False
UFC 47: It's On!,http://ufcstats.com/event-details/e8fb8e53bc2e29d6,2004-04-02,"Las Vegas, Nevada, USA",,2004,4,2,4,Las Vegas,Nevada,USA,True,False
UFC 46: Supernatural,http://ufcstats.com/event-details/94609dd91731d428,2004-01-31,"Las Vegas, Nevada, USA",,2004,1,31,5,Las Vegas,Nevada,USA,True,False
UFC 45: Revolution,http://ufcstats.com/event-details/e670f8cc2969a789,2003-11-21,"Uncasville, Connecticut, USA",,2003,11,21,4,Uncasville,Connecticut,USA,True,False
UFC 44: Undisputed,http://ufcstats.com/event-details/c61f66d8c3fd5f07,2003-09-26,"Las Vegas, Nevada, USA",,2003,9,26,4,Las Vegas,Nevada,USA,True,False
UFC 43: Meltdown,http://ufcstats.com/event-details/108afe61a26bcbf4,2003-06-06,"Las Vegas, Nevada, USA",,2003,6,6,4,Las Vegas,Nevada,USA,True,False
UFC 42: Sudden Impact,http://ufcstats.com/event-details/ae58685caf8e4a0d,2003-04-25,"Miami, Florida, USA",,2003,4,25,4,Miami,Florida,USA,True,False
UFC 41: Onslaught,http://ufcstats.com/event-details/bba678d312590087,2003-02-28,"Atlantic City, New Jersey, USA",,2003,2,28,4,Atlantic City,New Jersey,USA,True,False
UFC 40: Vendetta,http://ufcstats.com/event-details/e06fd1260ac865a7,2002-11-22,"Las Vegas, Nevada, USA",,2002,11,22,4,Las Vegas,Nevada,USA,True,False
UFC 39: The Warriors Return,http://ufcstats.com/event-details/0cf935519d439ba6,2002-09-27,"Uncasville, Connecticut, USA",,2002,9,27,4,Uncasville,Connecticut,USA,True,False
UFC 38: Brawl at the Hall,http://ufcstats.com/event-details/1dc56b59cb28425d,2002-07-13,"London, England, United Kingdom",,2002,7,13,5,London,England,United Kingdom,True,False
UFC 37.5: As Real As It Gets,http://ufcstats.com/event-details/9ccdd2ce45903f34,2002-06-22,"Las Vegas, Nevada, USA",,2002,6,22,5,Las Vegas,Nevada,USA,True,False
UFC 37: High Impact,http://ufcstats.com/event-details/9fd1f08dd4aec14a,2002-05-10,"Bossier City, Louisiana, USA",,2002,5,10,4,Bossier City,Louisiana,USA,True,False
UFC 36: Worlds Collide,http://ufcstats.com/event-details/02fc8f50f56eb307,2002-03-22,"Las Vegas, Nevada, USA",,2002,3,22,4,Las Vegas,Nevada,USA,True,False
UFC 35: Throwdown,http://ufcstats.com/event-details/946f341df6472ee0,2002-01-11,"Uncasville, Connecticut, USA",,2002,1,11,4,Uncasville,Connecticut,USA,True,False
UFC 34: High Voltage,http://ufcstats.com/event-details/4dc496aa0cfc0d95,2001-11-02,"Las Vegas, Nevada, USA",,2001,11,2,4,Las Vegas,Nevada,USA,True,False
UFC 33: Victory in Vegas,http://ufcstats.com/event-details/c75b99887c8c3f5a,2001-09-28,"Las Vegas, Nevada, USA",,2001,9,28,4,Las Vegas,Nevada,USA,True,False
UFC 32: Showdown in the Meadowlands,http://ufcstats.com/event-details/7b9aa973e5c04624,2001-06-29,"East Rutherford, New Jersey, USA",,2001,6,29,4,East Rutherford,New Jersey,USA,True,False
UFC 31: Locked and Loaded,http://ufcstats.com/event-details/20bd6c3e03c46ee6,2001-05-04,"Atlantic City, New Jersey, USA",,2001,5,4,4,Atlantic City,New Jersey,USA,True,False
UFC 30: Battle on the Boardwalk,http://ufcstats.com/event-details/2b1587a3376ab743,2001-02-23,"Atlantic City, New Jersey, USA",,2001,2,23,4,Atlantic City,New Jersey,USA,True,False
UFC 29: Defense of the Belts,http://ufcstats.com/event-details/08ae5cd9aef7ddd3,2000-12-16,"Tokyo, Japan",,2000,12,16,5,Tokyo,Japan,,True,False
UFC 28: High Stakes,http://ufcstats.com/event-details/da6dfd09cca1d705,2000-11-17,"Atlantic City, New Jersey, USA",,2000,11,17,4,Atlantic City,New Jersey,USA,True,False
UFC 27: Ultimate Bad Boyz,http://ufcstats.com/event-details/31652c9267606d54,2000-09-22,"New Orleans, Louisiana, USA",,2000,9,22,4,New Orleans,Louisiana,USA,True,False
UFC 26: Ultimate Field Of Dreams,http://ufcstats.com/event-details/cedfdf8d423d500c,2000-06-09,"Cedar Rapids, Iowa, USA",,2000,6,9,4,Cedar Rapids,Iowa,USA,True,False
UFC 25: Ultimate Japan 3,http://ufcstats.com/event-details/d2b1c1317a39f6c6,2000-04-14,"Tokyo, Japan",,2000,4,14,4,Tokyo,Japan,,True,False
UFC 24: First Defense,http://ufcstats.com/event-details/20ec0061400178ca,2000-03-10,"Lake Charles, Louisiana, USA",,2000,3,10,4,Lake Charles,Louisiana,USA,True,False
UFC 23: Ultimate Japan 2,http://ufcstats.com/event-details/a8fa0c4e95512806,1999-11-19,"Chiba, Japan",,1999,11,19,4,Chiba,Japan,,True,False
UFC 22: Only One Can be Champion,http://ufcstats.com/event-details/afaad7d6a581e307,1999-09-24,"Lake Charles, Louisiana, USA",,1999,9,24,4,Lake Charles,Louisiana,USA,True,False
UFC 21: Return of the Champions,http://ufcstats.com/event-details/1a1a4d7a29041d77,1999-07-16,"Cedar Rapids, Iowa, USA",,1999,7,16,4,Cedar Rapids,Iowa,USA,True,False
UFC 20: Battle for the Gold,http://ufcstats.com/event-details/a7b48e18ca27795d,1999-05-07,"Birmingham, Alabama, USA",,1999,5,7,4,Birmingham,Alabama,USA,True,False
UFC 19: Ultimate Young Guns,http://ufcstats.com/event-details/a220be6d41d6f97d,1999-03-05,"Bay St. Louis, Mississippi, USA",,1999,3,5,4,Bay St. Louis,Mississippi,USA,True,False
UFC 18: The Road to the Heavyweight Title,http://ufcstats.com/event-details/c9bbf1a0285a8076,1999-01-08,"New Orleans, Louisiana, USA",,1999,1,8,4,New Orleans,Louisiana,USA,True,False
UFC - Ultimate Brazil,http://ufcstats.com/event-details/32a3025d5db456ae,1998-10-16,"Sao Paulo, Brazil",,1998,10,16,4,Sao Paulo,Brazil,,False,False
UFC 17: Redemption,http://ufcstats.com/event-details/4a01dc8376736ef5,1998-05-15,"Mobile, Alabama, USA",,1998,5,15,4,Mobile,Alabama,USA,True,False
UFC 16: Battle in the Bayou,http://ufcstats.com/event-details/749685d24e2cac50,1998-03-13,"New Orleans, Louisiana, USA",,1998,3,13,4,New Orleans,Louisiana,USA,True,False
UFC - Ultimate Japan,http://ufcstats.com/event-details/29f935654825331b,1997-12-21,"Yokohama, Kanagawa, Japan",,1997,12,21,6,Yokohama,Kanagawa,Japan,False,False
UFC 15: Collision Course,http://ufcstats.com/event-details/07a18ae55dfc3cd9,1997-10-17,"Bay St. Louis, Mississippi, USA",,1997,10,17,4,Bay St. Louis,Mississippi,USA,True,False
UFC 14: Showdown,http://ufcstats.com/event-details/dc950d59dc590aca,1997-07-27,"Birmingham, Alabama, USA",,1997,7,27,6,Birmingham,Alabama,USA,True,False
UFC 13: The Ultimate Force,http://ufcstats.com/event-details/5bd533d50c8e7b8a,1997-05-30,"Augusta, Georgia, USA",,1997,5,30,4,Augusta,Georgia,USA,True,False
UFC 12: Judgement Day,http://ufcstats.com/event-details/96eff1a628adcc7f,1997-02-07,"Dothan, Alabama, USA",,1997,2,7,4,Dothan,Alabama,USA,True,False
UFC - Ultimate Ultimate '96,http://ufcstats.com/event-details/9b5b5a75523728f3,1996-12-07,"Birmingham, Alabama, USA",,1996,12,7,5,Birmingham,Alabama,USA,False,False
UFC 11: The Proving Ground,http://ufcstats.com/event-details/6ceff86fae4f6b3b,1996-09-20,"Augusta, Georgia, USA",,1996,9,20,4,Augusta,Georgia,USA,True,False
UFC 10: The Tournament,http://ufcstats.com/event-details/aee8eecfc4bfb1e7,1996-07-12,"Birmingham, Alabama, USA",,1996,7,12,4,Birmingham,Alabama,USA,True,False
UFC 9: Motor City Madness,http://ufcstats.com/event-details/a390eb8a9b2df298,1996-05-17,"Detroit, Michigan, USA",,1996,5,17,4,Detroit,Michigan,USA,True,False
UFC 8: David vs Goliath,http://ufcstats.com/event-details/b63e800c18e011b5,1996-02-16,"San Juan, Puerto Rico",,1996,2,16,4,San Juan,Puerto Rico,,True,False
UFC - Ultimate Ultimate '95,http://ufcstats.com/event-details/31bbd46d57dfbcb7,1995-12-16,"Denver, Colorado, USA",,1995,12,16,5,Denver,Colorado,USA,False,False
UFC 7: The Brawl in Buffalo,http://ufcstats.com/event-details/5af480a3b2e1726b,1995-09-08,"Buffalo, New York, USA",,1995,9,8,4,Buffalo,New York,USA,True,False
UFC 6: Clash of the Titans,http://ufcstats.com/event-details/1c3f5e85b59ec710,1995-07-14,"Casper, Wyoming, USA",,1995,7,14,4,Casper,Wyoming,USA,True,False
UFC 5: The Return of the Beast,http://ufcstats.com/event-details/dedc3bb440d09554,1995-04-07,"Charlotte, North Carolina, USA",,1995,4,7,4,Charlotte,North Carolina,USA,True,False
UFC 4: Revenge of the Warriors,http://ufcstats.com/event-details/b60391da771deefe,1994-12-16,"Tulsa, Oklahoma, USA",,1994,12,16,4,Tulsa,Oklahoma,USA,True,False
UFC 3: The American Dream,http://ufcstats.com/event-details/1a49e0670dfaca31,1994-09-09,"Charlotte, North Carolina, USA",,1994,9,9,4,Charlotte,North Carolina,USA,True,False
UFC 2: No Way Out,http://ufcstats.com/event-details/a6a9ab5a824e8f66,1994-03-11,"Denver, Colorado, USA",,1994,3,11,4,Denver,Colorado,USA,True,False
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,2025-07-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2025-08-02 09:49:35.914963,2025,7,26,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,False,True
