EVENT,URL,DATE,LOCATION,timestamp,year,month,day,day_of_week,city,state,country,is_ppv,is_fight_night
UFC 137: Penn vs Diaz,http://ufcstats.com/event-details/8788beb528894f33,2011-10-29,"Las Vegas, Nevada, USA",,2011,10,29,5,Las Vegas,Nevada,USA,True,False
UFC 136: Edgar vs Maynard 3,http://ufcstats.com/event-details/7d5b12de1625984e,2011-10-08,"Houston, Texas, USA",,2011,10,8,5,Houston,Texas,USA,True,False
UFC Live: Cruz vs Johnson,http://ufcstats.com/event-details/44f9c777fed7ca03,2011-10-01,"Washington, DC, USA",,2011,10,1,5,Washington,DC,USA,False,False
UFC 135: Jones vs Rampage,http://ufcstats.com/event-details/73ef22f25d0f70e2,2011-09-24,"Denver, Colorado, USA",,2011,9,24,5,Denver,Colorado,USA,True,False
UFC Fight Night: Shields vs Ellenberger,http://ufcstats.com/event-details/1ffc38f67785797b,2011-09-17,"New Orleans, Louisiana, USA",,2011,9,17,5,New Orleans,Louisiana,USA,False,True
UFC 134: Silva vs Okami,http://ufcstats.com/event-details/18968f97ad34f15c,2011-08-27,"Rio de Janeiro, Brazil",,2011,8,27,5,Rio de Janeiro,Brazil,,True,False
UFC Live: Hardy vs Lytle,http://ufcstats.com/event-details/4c8d6fde2dde07c4,2011-08-14,"Milwaukee, Wisconsin, USA",,2011,8,14,6,Milwaukee,Wisconsin,USA,False,False
UFC 133: Evans vs Ortiz 2,http://ufcstats.com/event-details/f1f9e48a0d150757,2011-08-06,"Philadelphia, Pennsylvania, USA",,2011,8,6,5,Philadelphia,Pennsylvania,USA,True,False
UFC 132: Cruz vs Faber,http://ufcstats.com/event-details/83fd97284f4bb4a4,2011-07-02,"Las Vegas, Nevada, USA",,2011,7,2,5,Las Vegas,Nevada,USA,True,False
UFC Live: Kongo vs Barry,http://ufcstats.com/event-details/d023ae89a2a4a41e,2011-06-26,"Pittsburgh, Pennsylvania, USA",,2011,6,26,6,Pittsburgh,Pennsylvania,USA,False,False
UFC 131: Dos Santos vs Carwin,http://ufcstats.com/event-details/aac5ac38148f0528,2011-06-11,"Vancouver, British Columbia, Canada",,2011,6,11,5,Vancouver,British Columbia,Canada,True,False
The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,http://ufcstats.com/event-details/3ba3b5cc94498437,2011-06-04,"Las Vegas, Nevada, USA",,2011,6,4,5,Las Vegas,Nevada,USA,False,False
UFC 130: Rampage vs Hamill,http://ufcstats.com/event-details/b732b326c362fb62,2011-05-28,"Las Vegas, Nevada, USA",,2011,5,28,5,Las Vegas,Nevada,USA,True,False
UFC 129: St-Pierre vs Shields,http://ufcstats.com/event-details/2db7fa8db6bc9632,2011-04-30,"Toronto, Ontario, Canada",,2011,4,30,5,Toronto,Ontario,Canada,True,False
UFC Fight Night: Nogueira vs Davis,http://ufcstats.com/event-details/8a59d346dc976a10,2011-03-26,"Seattle, Washington, USA",,2011,3,26,5,Seattle,Washington,USA,False,True
UFC 128: Shogun vs Jones,http://ufcstats.com/event-details/1411c630ba711b64,2011-03-19,"Newark, New Jersey, USA",,2011,3,19,5,Newark,New Jersey,USA,True,False
UFC Live: Sanchez vs Kampmann,http://ufcstats.com/event-details/a54fc2d6fc224dc3,2011-03-03,"Louisville, Kentucky, USA",,2011,3,3,3,Louisville,Kentucky,USA,False,False
UFC 127: Penn vs Fitch,http://ufcstats.com/event-details/88a9bc81271ccd89,2011-02-26,"Sydney, New South Wales, Australia",,2011,2,26,5,Sydney,New South Wales,Australia,True,False
UFC 126: Silva vs Belfort,http://ufcstats.com/event-details/65ddc8a9ac4e8531,2011-02-05,"Las Vegas, Nevada, USA",,2011,2,5,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Fight for the Troops 2,http://ufcstats.com/event-details/282fa667ff9c51ed,2011-01-22,"Killeen, Texas, USA",,2011,1,22,5,Killeen,Texas,USA,False,True
UFC 125: Resolution,http://ufcstats.com/event-details/d1152823307d7e7c,2011-01-01,"Las Vegas, Nevada, USA",,2011,1,1,5,Las Vegas,Nevada,USA,True,False
UFC 124: St-Pierre vs Koscheck 2,http://ufcstats.com/event-details/132f860d02953f4c,2010-12-11,"Montreal, Quebec, Canada",,2010,12,11,5,Montreal,Quebec,Canada,True,False
The Ultimate Fighter: Team GSP vs Team Koscheck Finale,http://ufcstats.com/event-details/5d7bdab5e03e3216,2010-12-04,"Las Vegas, Nevada, USA",,2010,12,4,5,Las Vegas,Nevada,USA,False,False
UFC 123: Rampage vs Machida,http://ufcstats.com/event-details/dd992d569aaebee6,2010-11-20,"Auburn Hills, Michigan, USA",,2010,11,20,5,Auburn Hills,Michigan,USA,True,False
UFC 122: Marquardt vs Okami,http://ufcstats.com/event-details/0ff11cc094e887bc,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",,2010,11,13,5,Oberhausen,North Rhine-Westphalia,Germany,True,False
UFC 121: Lesnar vs Velasquez,http://ufcstats.com/event-details/afdb76fbd86f6d11,2010-10-23,"Anaheim, California, USA",,2010,10,23,5,Anaheim,California,USA,True,False
UFC 120: Bisping vs Akiyama,http://ufcstats.com/event-details/d512d9f204059f57,2010-10-16,"London, England, United Kingdom",,2010,10,16,5,London,England,United Kingdom,True,False
UFC 119: Mir vs Cro Cop,http://ufcstats.com/event-details/ad32471f01e7b1a5,2010-09-25,"Indianapolis, Indiana, USA",,2010,9,25,5,Indianapolis,Indiana,USA,True,False
UFC Fight Night: Marquardt vs Palhares,http://ufcstats.com/event-details/acff437707625fc7,2010-09-15,"Austin, Texas, USA",,2010,9,15,2,Austin,Texas,USA,False,True
UFC 118: Edgar vs Penn 2,http://ufcstats.com/event-details/054defd5420a551f,2010-08-28,"Boston, Massachusetts, USA",,2010,8,28,5,Boston,Massachusetts,USA,True,False
UFC 117: Silva vs Sonnen,http://ufcstats.com/event-details/2f3f12002564bb55,2010-08-07,"Oakland, California, USA",,2010,8,7,5,Oakland,California,USA,True,False
UFC Live: Jones vs Matyushenko,http://ufcstats.com/event-details/f12f979b657ab876,2010-08-01,"San Diego, California, USA",,2010,8,1,6,San Diego,California,USA,False,False
UFC 116: Lesnar vs Carwin,http://ufcstats.com/event-details/140745cbbcb023ac,2010-07-03,"Las Vegas, Nevada, USA",,2010,7,3,5,Las Vegas,Nevada,USA,True,False
The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,http://ufcstats.com/event-details/9bcf8603ceb25680,2010-06-19,"Las Vegas, Nevada, USA",,2010,6,19,5,Las Vegas,Nevada,USA,False,False
UFC 115: Liddell vs Franklin,http://ufcstats.com/event-details/cfb65863d5099327,2010-06-12,"Vancouver, British Columbia, Canada",,2010,6,12,5,Vancouver,British Columbia,Canada,True,False
UFC 114: Rampage vs Evans,http://ufcstats.com/event-details/bfc2fc38a0e20211,2010-05-29,"Las Vegas, Nevada, USA",,2010,5,29,5,Las Vegas,Nevada,USA,True,False
UFC 113: Machida vs Shogun 2,http://ufcstats.com/event-details/d0c29452d3272603,2010-05-08,"Montreal, Quebec, Canada",,2010,5,8,5,Montreal,Quebec,Canada,True,False
UFC 112: Invincible,http://ufcstats.com/event-details/24b033b3daf1c9df,2010-04-10,"Abu Dhabi, United Arab Emirates",,2010,4,10,5,Abu Dhabi,United Arab Emirates,,True,False
UFC Fight Night: Florian vs Gomi,http://ufcstats.com/event-details/3ed134d85dfbd7b4,2010-03-31,"Charlotte, North Carolina, USA",,2010,3,31,2,Charlotte,North Carolina,USA,False,True
UFC 111: St-Pierre vs Hardy,http://ufcstats.com/event-details/c80095f6092271a7,2010-03-27,"Newark, New Jersey, USA",,2010,3,27,5,Newark,New Jersey,USA,True,False
UFC Live: Vera vs Jones,http://ufcstats.com/event-details/3795fca327cbcf23,2010-03-21,"Broomfield, Colorado, USA",,2010,3,21,6,Broomfield,Colorado,USA,False,False
UFC 110: Nogueira vs Velasquez,http://ufcstats.com/event-details/49efbdc6c9f650c4,2010-02-20,"Sydney, New South Wales, Australia",,2010,2,20,5,Sydney,New South Wales,Australia,True,False
UFC 109: Relentless,http://ufcstats.com/event-details/15edcf67ccf5be84,2010-02-06,"Las Vegas, Nevada, USA",,2010,2,6,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Maynard vs Diaz,http://ufcstats.com/event-details/58bc81376286b3d3,2010-01-11,"Fairfax, Virginia, USA",,2010,1,11,0,Fairfax,Virginia,USA,False,True
UFC 108: Evans vs Silva,http://ufcstats.com/event-details/a6d8bfe9e0c8153b,2010-01-02,"Las Vegas, Nevada, USA",,2010,1,2,5,Las Vegas,Nevada,USA,True,False
UFC 107: Penn vs Sanchez,http://ufcstats.com/event-details/821cd80aab70d5f9,2009-12-12,"Memphis, Tennessee, USA",,2009,12,12,5,Memphis,Tennessee,USA,True,False
The Ultimate Fighter: Heavyweights Finale,http://ufcstats.com/event-details/91d73ee59347ac16,2009-12-05,"Las Vegas, Nevada, USA",,2009,12,5,5,Las Vegas,Nevada,USA,False,False
UFC 106: Ortiz vs Griffin 2,http://ufcstats.com/event-details/84a067c46306a737,2009-11-21,"Las Vegas, Nevada, USA",,2009,11,21,5,Las Vegas,Nevada,USA,True,False
UFC 105: Couture vs Vera,http://ufcstats.com/event-details/fa8b9e6b0c2269f8,2009-11-14,"Manchester, England, United Kingdom",,2009,11,14,5,Manchester,England,United Kingdom,True,False
UFC 104: Machida vs Shogun,http://ufcstats.com/event-details/7c0847d3854a95f2,2009-10-24,"Los Angeles, California, USA",,2009,10,24,5,Los Angeles,California,USA,True,False
UFC 103: Franklin vs Belfort,http://ufcstats.com/event-details/896c322f56b8be5a,2009-09-19,"Dallas, Texas, USA",,2009,9,19,5,Dallas,Texas,USA,True,False
UFC Fight Night: Diaz vs Guillard,http://ufcstats.com/event-details/a8ea84cbe1655f0a,2009-09-16,"Oklahoma City, Oklahoma, USA",,2009,9,16,2,Oklahoma City,Oklahoma,USA,False,True
UFC 102: Couture vs Nogueira,http://ufcstats.com/event-details/c6a33ff198aaaeeb,2009-08-29,"Portland, Oregon, USA",,2009,8,29,5,Portland,Oregon,USA,True,False
UFC 101: Declaration,http://ufcstats.com/event-details/48d1f690b763934c,2009-08-08,"Philadelphia, Pennsylvania, USA",,2009,8,8,5,Philadelphia,Pennsylvania,USA,True,False
UFC 100,http://ufcstats.com/event-details/0ee783aa00e468f0,2009-07-11,"Las Vegas, Nevada, USA",,2009,7,11,5,Las Vegas,Nevada,USA,True,False
The Ultimate Fighter: United States vs. United Kingdom Finale,http://ufcstats.com/event-details/4908c5ee68a50ee5,2009-06-20,"Las Vegas, Nevada, USA",,2009,6,20,5,Las Vegas,Nevada,USA,False,False
UFC 99: The Comeback,http://ufcstats.com/event-details/cb6783c39c01d896,2009-06-13,"Cologne, North Rhine-Westphalia, Germany",,2009,6,13,5,Cologne,North Rhine-Westphalia,Germany,True,False
UFC 98: Evans vs Machida,http://ufcstats.com/event-details/c4b6099f0d25f75e,2009-05-23,"Las Vegas, Nevada, USA",,2009,5,23,5,Las Vegas,Nevada,USA,True,False
UFC 97: Redemption,http://ufcstats.com/event-details/1652f3213655b935,2009-04-18,"Montreal, Quebec, Canada",,2009,4,18,5,Montreal,Quebec,Canada,True,False
UFC Fight Night: Condit vs Kampmann,http://ufcstats.com/event-details/04d5718ed2661e8c,2009-04-01,"Nashville, Tennessee, USA",,2009,4,1,2,Nashville,Tennessee,USA,False,True
UFC 96: Jackson vs Jardine,http://ufcstats.com/event-details/29b5791e51e7e832,2009-03-07,"Columbus, Ohio, USA",,2009,3,7,5,Columbus,Ohio,USA,True,False
UFC 95: Sanchez vs Stevenson,http://ufcstats.com/event-details/7d21de9c6d7c98b2,2009-02-21,"London, England, United Kingdom",,2009,2,21,5,London,England,United Kingdom,True,False
UFC Fight Night: Lauzon vs Stephens,http://ufcstats.com/event-details/d1759b2b7be9be56,2009-02-07,"Tampa, Florida, USA",,2009,2,7,5,Tampa,Florida,USA,False,True
UFC 94: St-Pierre vs Penn 2,http://ufcstats.com/event-details/2a542ee8a8b83559,2009-01-31,"Las Vegas, Nevada, USA",,2009,1,31,5,Las Vegas,Nevada,USA,True,False
UFC 93: Franklin vs Henderson,http://ufcstats.com/event-details/68c6cd5287b473a7,2009-01-17,"Dublin, Leinster, Ireland",,2009,1,17,5,Dublin,Leinster,Ireland,True,False
